layer,feature_id,active_fraction_wrong,active_fraction_correct,fraction_diff_correct_minus_wrong,abs_fraction_diff,total_active_count
2,8403,0.028627838104639685,0.1518987341772152,0.1232708960725755,0.1232708960725755,291
2,267,0.033234616650213884,0.1548771407297096,0.12164252407949572,0.12164252407949572,309
2,749,0.2905561039815729,0.2137006701414743,-0.07685543384009857,0.07685543384009857,1170
2,895,0.20993747943402435,0.14147431124348472,-0.06846316819053963,0.06846316819053963,828
2,3262,0.01809805857189865,0.08637379002233805,0.0682757314504394,0.0682757314504394,171
2,9020,0.6005264889766371,0.5323901712583767,-0.06813631771826034,0.06813631771826034,2540
2,676,0.06679828891082593,0.1303052866716307,0.06350699776080476,0.06350699776080476,378
2,11574,0.011516946363935505,0.07371556217423679,0.06219861581030128,0.06219861581030128,134
2,690,0.140177690029615,0.19657483246463142,0.05639714243501642,0.05639714243501642,690
2,1913,0.14774596906877263,0.19880863737900223,0.0510626683102296,0.0510626683102296,716
2,61,0.11582757486015137,0.16679076693968728,0.05096319207953591,0.05096319207953591,576
2,527,0.11648568608094768,0.16604616530156366,0.049560479220615974,0.049560479220615974,577
2,505,0.11813096413293847,0.16753536857781087,0.0494044044448724,0.0494044044448724,584
2,224,0.015136558078315236,0.06403574087862993,0.04889918280031469,0.04889918280031469,132
2,13282,0.19381375452451463,0.14743112434847358,-0.04638263017604105,0.04638263017604105,787
2,230,0.05067456400131622,0.007446016381236039,-0.04322854762008019,0.04322854762008019,164
2,446,0.16057913787430075,0.20104244229337304,0.04046330441907228,0.04046330441907228,758
2,29,0.05231984205330701,0.012658227848101266,-0.039661614205205746,0.039661614205205746,176
2,5958,0.009213557091148404,0.04690990320178704,0.037696346110638636,0.037696346110638636,91
2,45,0.045409674234945706,0.011913626209977662,-0.03349604802496804,0.03349604802496804,154
2,8890,0.03520895031260283,0.06775874906924795,0.03254979875664512,0.03254979875664512,198
2,1643,0.036854228364593615,0.005956813104988831,-0.030897415259604783,0.030897415259604783,120
2,963,0.14675880223757815,0.17721518987341772,0.030456387635839577,0.030456387635839577,684
2,203,0.029615004935834157,0.0014892032762472078,-0.02812580165958695,0.02812580165958695,92
2,1218,0.03784139519578809,0.010424422933730455,-0.02741697226205763,0.02741697226205763,129
3,9270,0.029285949325436,0.1526433358153388,0.12335738648990278,0.12335738648990278,294
3,267,0.033234616650213884,0.1548771407297096,0.12164252407949572,0.12164252407949572,309
3,1846,0.028298782494241528,0.14147431124348472,0.11317552874924319,0.11317552874924319,276
3,1219,0.03060217176702863,0.11392405063291139,0.08332187886588276,0.08332187886588276,246
3,527,0.2905561039815729,0.2137006701414743,-0.07685543384009857,0.07685543384009857,1170
3,378,0.2836459361632116,0.2122114668652271,-0.0714344692979845,0.0714344692979845,1147
3,1666,0.10957551826258638,0.17498138495904692,0.06540586669646054,0.06540586669646054,568
3,174,0.0993747943402435,0.034996276991809384,-0.06437851734843411,0.06437851734843411,349
3,230,0.07107601184600197,0.01340282948622487,-0.0576731823597771,0.0576731823597771,234
3,15853,0.11977624218492926,0.06478034251675353,-0.054995899668175724,0.054995899668175724,451
3,15959,0.42744323790720634,0.37379002233804914,-0.0536532155691572,0.0536532155691572,1801
3,373,0.14379730174399474,0.19657483246463142,0.05277753072063668,0.05277753072063668,701
3,3681,0.19677525501809806,0.14668652271034996,-0.0500887323077481,0.0500887323077481,795
3,505,0.11813096413293847,0.16753536857781087,0.0494044044448724,0.0494044044448724,584
3,61,0.09542612701546561,0.14445271779597915,0.04902659078051354,0.04902659078051354,484
3,7978,0.07897334649555775,0.03127326880119136,-0.047700077694366384,0.047700077694366384,282
3,9944,0.0746956235603817,0.028294862248696945,-0.04640076131168476,0.04640076131168476,265
3,8527,0.08094768015794669,0.12732688011913626,0.04637919996118957,0.04637919996118957,417
3,1913,0.10431062849621586,0.14892032762472077,0.044609699128504904,0.044609699128504904,517
3,13758,0.013162224415926292,0.05658972449739389,0.0434275000814676,0.0434275000814676,116
3,910,0.029944060546232314,0.07148175725986597,0.04153769671363365,0.04153769671363365,187
3,379,0.017439947351102335,0.058823529411764705,0.041383582060662366,0.041383582060662366,132
3,8890,0.030931227377426786,0.07073715562174236,0.03980592824431557,0.03980592824431557,189
3,387,0.06054623231326094,0.021593447505584513,-0.03895278480767643,0.03895278480767643,213
3,877,0.025995393221454426,0.06180193596425912,0.03580654274280469,0.03580654274280469,162
4,675,0.033234616650213884,0.1548771407297096,0.12164252407949572,0.12164252407949572,309
4,16064,0.022375781507074696,0.13924050632911392,0.11686472482203922,0.11686472482203922,255
4,704,0.043106284962158604,0.13626209977661952,0.09315581481446092,0.09315581481446092,314
4,5080,0.3813754524514643,0.47058823529411764,0.08921278284265333,0.08921278284265333,1791
4,2513,0.1839420862125699,0.10275502606105734,-0.08118706015151257,0.08118706015151257,697
4,328,0.02566633761105627,0.10647803425167536,0.08081169664061909,0.08081169664061909,221
4,12838,0.25139848634419215,0.1727475800446761,-0.07865090629951604,0.07865090629951604,996
4,120,0.2905561039815729,0.2137006701414743,-0.07685543384009857,0.07685543384009857,1170
4,11313,0.10694307337940112,0.03127326880119136,-0.07566980457820977,0.07566980457820977,367
4,641,0.09443896018427114,0.16827997021593447,0.07384101003166332,0.07384101003166332,513
4,14383,0.09180651530108588,0.16232315711094564,0.07051664180985975,0.07051664180985975,497
4,701,0.04606778545574202,0.11392405063291139,0.06785626517716936,0.06785626517716936,293
4,378,0.2418558736426456,0.17870439314966494,-0.06315148049298067,0.06315148049298067,975
4,1095,0.1763738071734123,0.11913626209977662,-0.05723754507363568,0.05723754507363568,696
4,201,0.3547219480092136,0.2993298585256888,-0.05539208948352481,0.05539208948352481,1480
4,749,0.18591641987495885,0.13179448994787787,-0.05412192992708098,0.05412192992708098,742
4,61,0.11813096413293847,0.16753536857781087,0.0494044044448724,0.0494044044448724,584
4,13705,0.014807502467917079,0.06329113924050633,0.04848363677258925,0.04848363677258925,130
4,505,0.11615663047054953,0.16455696202531644,0.04840033155476692,0.04840033155476692,574
4,2516,0.08983218163869694,0.04244229337304542,-0.04738988826565152,0.04738988826565152,330
4,4617,0.009542612701546561,0.05658972449739389,0.04704711179584733,0.04704711179584733,105
4,83,0.10431062849621586,0.05956813104988831,-0.04474249744632755,0.04474249744632755,397
4,230,0.05067456400131622,0.006701414743112435,-0.04397314925820379,0.04397314925820379,163
4,12119,0.08489634748272458,0.12807148175725985,0.04317513427453527,0.04317513427453527,430
4,978,0.060217176702862786,0.10201042442293373,0.041793247720070946,0.041793247720070946,320
12,1266,0.3882856202698256,0.2457185405807893,-0.1425670796890363,0.1425670796890363,1510
12,505,0.09509707140506746,0.22710349962769918,0.13200642822263173,0.13200642822263173,594
12,2121,0.029615004935834157,0.15562174236783322,0.12600673743199906,0.12600673743199906,299
12,11304,0.07864429088515959,0.19806403574087864,0.11941974485571905,0.11941974485571905,505
12,176,0.3333333333333333,0.4378257632166791,0.10449242988334578,0.10449242988334578,1601
12,1377,0.09970384995064166,0.19955323901712585,0.09984938906648419,0.09984938906648419,571
12,3833,0.05955906548206647,0.15040953090096798,0.09085046541890152,0.09085046541890152,383
12,596,0.08193484698914116,0.1712583767684289,0.08932352977928773,0.08932352977928773,479
12,8968,0.014807502467917079,0.0967982129560685,0.08199071048815142,0.08199071048815142,175
12,1596,0.10266535044422508,0.18391660461653014,0.08125125417230507,0.08125125417230507,559
12,1948,0.0700888450148075,0.15040953090096798,0.08032068588616048,0.08032068588616048,415
12,7567,0.13524185587364265,0.06105733432613552,-0.07418452154750713,0.07418452154750713,493
12,664,0.27772293517604474,0.20699925539836186,-0.07072367977768287,0.07072367977768287,1122
12,2612,0.10102007239223429,0.16827997021593447,0.06725989782370018,0.06725989782370018,533
12,1754,0.03784139519578809,0.10349962769918093,0.06565823250339284,0.06565823250339284,254
12,824,0.07996051332675222,0.14519731943410275,0.06523680610735053,0.06523680610735053,438
12,15710,0.011187890753537348,0.07446016381236038,0.06327227305882303,0.06327227305882303,134
12,692,0.29944060546232315,0.3603871928518243,0.06094658738950115,0.06094658738950115,1394
12,1468,0.2527147087857848,0.1950856291883842,-0.05762907959740057,0.05762907959740057,1030
12,709,0.10003290556103982,0.04244229337304542,-0.0575906121879944,0.0575906121879944,361
12,2857,0.015465613688713393,0.07297096053611318,0.05750534684739979,0.05750534684739979,145
12,1414,0.15597235932872655,0.10052122114668652,-0.05545113818204003,0.05545113818204003,609
12,3886,0.07864429088515959,0.1332836932241251,0.0546394023389655,0.0546394023389655,418
12,619,0.09279368213228036,0.14668652271034996,0.053892840578069603,0.053892840578069603,479
12,3406,0.07041790062520566,0.01712583767684289,-0.053292062948362764,0.053292062948362764,237
15,621,0.6331029944060547,0.35815338793745344,-0.2749496064686012,0.2749496064686012,2405
15,2034,0.03718328397499177,0.16679076693968728,0.12960748296469551,0.12960748296469551,337
15,5485,0.03356367226061204,0.1548771407297096,0.12131346846909755,0.12131346846909755,310
15,7143,0.08654162553471537,0.1950856291883842,0.10854400365366884,0.10854400365366884,525
15,297,0.2435011516946364,0.1377513030528667,-0.1057498486417697,0.1057498486417697,925
15,319,0.12569924317209608,0.2308265078183172,0.10512726464622113,0.10512726464622113,692
15,1468,0.12471207634090162,0.22635889798957556,0.10164682164867395,0.10164682164867395,683
15,664,0.16156630470549524,0.06924795234549516,-0.09231835236000008,0.09231835236000008,584
15,889,0.02303389272787101,0.11392405063291139,0.09089015790504038,0.09089015790504038,223
15,5270,0.13425468904244817,0.04690990320178704,-0.08734478584066113,0.08734478584066113,471
15,222,0.13425468904244817,0.22114668652271036,0.08689199748026219,0.08689199748026219,705
15,1302,0.27673576834485025,0.1921072226358898,-0.08462854570896045,0.08462854570896045,1099
15,331,0.2109246462652188,0.12807148175725985,-0.08285316450795896,0.08285316450795896,813
15,15824,0.0654820664692333,0.14668652271034996,0.08120445624111666,0.08120445624111666,396
15,1646,0.03652517275419546,0.11317944899478778,0.07665427624059232,0.07665427624059232,263
15,520,0.25370187561697927,0.17870439314966494,-0.07499748246731433,0.07499748246731433,1011
15,13106,0.08325106943073379,0.1548771407297096,0.0716260712989758,0.0716260712989758,461
15,3404,0.1641987495886805,0.23529411764705882,0.07109536805837832,0.07109536805837832,815
15,2727,0.24547548535702535,0.1757259865971705,-0.06974949875985484,0.06974949875985484,982
15,1136,0.055281342546890426,0.12360387192851824,0.0683225293816278,0.0683225293816278,334
15,9556,0.09378084896347483,0.026061057334326135,-0.06771979162914869,0.06771979162914869,320
15,653,0.09772951628825272,0.03052866716306776,-0.06720084912518495,0.06720084912518495,338
15,1377,0.19743336623889438,0.26433358153387937,0.066900215294985,0.066900215294985,955
15,11604,0.012504113195129977,0.07892777364110201,0.06642366044597203,0.06642366044597203,144
15,6074,0.012833168805528134,0.0781831720029784,0.06535000319745027,0.06535000319745027,144
18,456,0.27377426785126685,0.5606850335070737,0.2869107656558068,0.2869107656558068,1585
18,621,0.472852912142152,0.2561429635145197,-0.21670994862763232,0.21670994862763232,1781
18,1664,0.2326423165514972,0.4437825763216679,0.2111402597701707,0.2111402597701707,1303
18,1399,0.06350773280684435,0.22338049143708116,0.1598727586302368,0.1598727586302368,493
18,2578,0.14708785784797632,0.045420699925539834,-0.10166715792243648,0.10166715792243648,508
18,10787,0.018756169792694965,0.11913626209977662,0.10038009230708166,0.10038009230708166,217
18,5229,0.1240539651201053,0.029039463886820552,-0.09501450123328475,0.09501450123328475,416
18,1652,0.10858835143139191,0.20253164556962025,0.09394329413822834,0.09394329413822834,602
18,6640,0.024679170779861797,0.1169024571854058,0.092223286405544,0.092223286405544,232
18,3475,0.019085225403093122,0.10945644080416977,0.09037121540107665,0.09037121540107665,205
18,225,0.1280026324448832,0.040208488458674606,-0.08779414398620858,0.08779414398620858,443
18,817,0.07666995722277065,0.16157855547282204,0.0849085982500514,0.0849085982500514,450
18,2658,0.11911813096413294,0.0379746835443038,-0.08114344741982915,0.08114344741982915,413
18,2196,0.1240539651201053,0.04616530156366344,-0.07788866355644186,0.07788866355644186,439
18,2632,0.02303389272787101,0.10052122114668652,0.0774873284188155,0.0774873284188155,205
18,2727,0.1217505758473182,0.044676098287416234,-0.07707447755990196,0.07707447755990196,430
18,15497,0.11352418558736427,0.18838421444527179,0.07486002885790752,0.07486002885790752,598
18,1302,0.28627838104639686,0.2122114668652271,-0.07406691418116976,0.07406691418116976,1155
18,749,0.10562685093780849,0.17647058823529413,0.07084373729748564,0.07084373729748564,558
18,511,0.43336623889437315,0.3626209977661951,-0.07074524112817804,0.07074524112817804,1804
18,12645,0.08983218163869694,0.021593447505584513,-0.06823873413311243,0.06823873413311243,302
18,1115,0.1849292530437644,0.1169024571854058,-0.0680267958583586,0.0680267958583586,719
18,3900,0.01217505758473182,0.07520476545048399,0.06302970786575217,0.06302970786575217,138
18,1778,0.1372161895360316,0.0766939687267312,-0.06052222080930039,0.06052222080930039,520
18,15116,0.014807502467917079,0.07520476545048399,0.06039726298256691,0.06039726298256691,146
